,dls-mon,"Directory\ Location\ Service\ Monitor",198,N
,smux,SMUX,199,N
,smux,SMUX,199,N
,src,"IBM\ System\ Resource\ Controller",200,N
,src,"IBM\ System\ Resource\ Controller",200,N
,at-rtmp,"AppleTalk\ Routing\ Maintenance",201,N
,at-rtmp,"AppleTalk\ Routing\ Maintenance",201,N
,at-nbp,"AppleTalk\ Name\ Binding",202,N
,at-nbp,"AppleTalk\ Name\ Binding",202,N
,at-3,"AppleTalk\ Unused",203,N
,at-3,"AppleTalk\ Unused",203,N
,at-echo,"AppleTalk\ Echo",204,N
,at-echo,"AppleTalk\ Echo",204,N
,at-5,"AppleTalk\ Unused",205,N
,at-5,"AppleTalk\ Unused",205,N
,at-zis,"AppleTalk\ Zone\ Information",206,N
,at-zis,"AppleTalk\ Zone\ Information",206,N
,at-7,"AppleTalk\ Unused",207,N
,at-7,"AppleTalk\ Unused",207,N
,at-8,"AppleTalk\ Unused",208,N
,at-8,"AppleTalk\ Unused",208,N
,qmtp,"The\ Quick\ Mail\ Transfer\ Protocol",209,N
,qmtp,"The\ Quick\ Mail\ Transfer\ Protocol",209,N
,z39.50,"ANSI\ Z3950",210,N
,z39.50,"ANSI\ Z3950",210,N
,914c/g,"Texas\ Instruments\ 914CG\ Terminal",211,N
,914c/g,"Texas\ Instruments\ 914CG\ Terminal",211,N
,anet,ATEXSSTR,212,N
,anet,ATEXSSTR,212,N
,ipx,IPX,213,N
,ipx,IPX,213,N
,vmpwscs,"VM\ PWSCS",214,N
,vmpwscs,"VM\ PWSCS",214,N
,softpc,"Insignia\ Solutions",215,N
,softpc,"Insignia\ Solutions",215,N
,CAIlic,"Computer\ Associates\ Intl\ License\ Server",216,N
,CAIlic,"Computer\ Associates\ Intl\ License\ Server",216,N
,dbase,"dBASE\ Unix",217,N
,dbase,"dBASE\ Unix",217,N
,mpp,"Netix\ Message\ Posting\ Protocol",218,N
,mpp,"Netix\ Message\ Posting\ Protocol",218,N
,uarps,"Unisys\ ARPs",219,N
,uarps,"Unisys\ ARPs",219,N
,imap3,"Interactive\ Mail\ Access\ Protocol\ v3",220,N
,imap3,"Interactive\ Mail\ Access\ Protocol\ v3",220,N
,fln-spx,"Berkeley\ rlogind\ with\ SPX\ auth",221,N
,fln-spx,"Berkeley\ rlogind\ with\ SPX\ auth",221,N
,rsh-spx,"Berkeley\ rshd\ with\ SPX\ auth",222,N
,rsh-spx,"Berkeley\ rshd\ with\ SPX\ auth",222,N
,cdc,"Certificate\ Distribution\ Center",223,N
,cdc,"Certificate\ Distribution\ Center",223,N
,masqdialer,masqdialer,224,N
,masqdialer,masqdialer,224,N
,direct,Direct,242,N
,direct,Direct,242,N
,sur-meas,"Survey\ Measurement",243,N
,sur-meas,"Survey\ Measurement",243,N
,inbusiness,inbusiness,244,N
,inbusiness,inbusiness,244,N
,link,LINK,245,N
,link,LINK,245,N
,dsp3270,"Display\ Systems\ Protocol",246,N
,dsp3270,"Display\ Systems\ Protocol",246,N
,subntbcst_tftp,SUBNTBCST_TFTP,247,N
,subntbcst_tftp,SUBNTBCST_TFTP,247,N
,bhfhs,bhfhs,248,N
,bhfhs,bhfhs,248,N
,rap,RAP,256,N
,rap,RAP,256,N
,set,"Secure\ Electronic\ Transaction",257,N
,set,"Secure\ Electronic\ Transaction",257,N
,esro-gen,"Efficient\ Short\ Remote\ Operations",259,N
,esro-gen,"Efficient\ Short\ Remote\ Operations",259,N
,openport,Openport,260,N
,openport,Openport,260,N
,nsiiops,"IIOP\ Name\ Service\ over\ TLSSSL",261,N
,nsiiops,"IIOP\ Name\ Service\ over\ TLSSSL",261,N
,arcisdms,Arcisdms,262,N
,arcisdms,Arcisdms,262,N
,hdap,HDAP,263,N
,hdap,HDAP,263,N
,bgmp,BGMP,264,N
,bgmp,BGMP,264,N
,x-bone-ctl,"X\-Bone\ CTL",265,N
,x-bone-ctl,"X\-Bone\ CTL",265,N
,sst,"SCSI\ on\ ST",266,N
,sst,"SCSI\ on\ ST",266,N
,td-service,"Tobit\ David\ Service\ Layer",267,N
,td-service,"Tobit\ David\ Service\ Layer",267,N
,td-replica,"Tobit\ David\ Replica",268,N
,td-replica,"Tobit\ David\ Replica",268,N
,manet,"MANET\ Protocols",269,N
,manet,"MANET\ Protocols",269,N
,gist,"Q\-mode\ encapsulation\ for\ GIST\ messages",270,N
,http-mgmt,http\-mgmt,280,N
,http-mgmt,http\-mgmt,280,N
,personal-link,"Personal\ Link",281,N
,personal-link,"Personal\ Link",281,N
,cableport-ax,"Cable\ Port\ AX",282,N
,cableport-ax,"Cable\ Port\ AX",282,N
,rescap,rescap,283,N
,rescap,rescap,283,N
,corerjd,corerjd,284,N
,corerjd,corerjd,284,N
,fxp,"FXP\ Communication",286,N
,fxp,"FXP\ Communication",286,N
,k-block,K\-BLOCK,287,N
,k-block,K\-BLOCK,287,N
,novastorbakcup,"Novastor\ Backup",308,N
,novastorbakcup,"Novastor\ Backup",308,N
,entrusttime,EntrustTime,309,N
,entrusttime,EntrustTime,309,N
,bhmds,bhmds,310,N
,bhmds,bhmds,310,N
,asip-webadmin,"AppleShare\ IP\ WebAdmin",311,N
,asip-webadmin,"AppleShare\ IP\ WebAdmin",311,N
